"Property Address","City","Zip","County","Building Type","Roof Sqft (estimated)","Owner LLC / Company Name","Owner Contact Name","Owner Email","Estimated Solar Potential (kWh/year)","Solar Score","Parcel ID","GIS Source URL"
"45400 Industrial Pl","Fremont","94538","Alameda","Industrial/Tech","165000","Fremont Industrial Partners LLC","","","790720","Medium","543-0040-005-00","https://data.acgov.org/"
"44000 Fremont Blvd","Fremont","94538","Alameda","Distribution","380000","Fremont Logistics LLC","","","790458","Medium","543-0050-006-00","https://data.acgov.org/"
"2300 Powell St","Emeryville","94608","Alameda","Office/R&D","85000","Bay Commercial Investors LLC","","","790691","Medium","049-1360-002-00","https://data.acgov.org/"
"8717 G St","Oakland","94621","Alameda","Industrial","122000","East Bay Industrial Trust","","","790218","Medium","037-3602-003-00","https://data.acgov.org/"
"1301 Marina Way S","Richmond","94804","Contra Costa","Warehouse","310000","Marina Way Holdings LLC","","","832503","High","409-300-008-0","https://ccmap.cccounty.us/"
"12800 Alcosta Blvd","San Ramon","94583","Contra Costa","Office Campus","250000","San Ramon Office Partners LLC","","","832163","High","213-0100-001-00","https://ccmap.cccounty.us/"
"5601 Arnold Rd","Dublin","94568","Alameda","Industrial/Flex","95000","Arnold Road Dublin LLC","","","790379","Medium","986-0010-009-00","https://data.acgov.org/"
"6750 Dublin Blvd","Dublin","94568","Alameda","Office/Retail","130000","Dublin Commerce LLC","","","791378","Medium","986-0020-010-00","https://data.acgov.org/"
"4000 Executive Pkwy","San Ramon","94583","Contra Costa","Office Campus","200000","Executive Park LLC","","","832213","High","213-0110-011-00","https://ccmap.cccounty.us/"
"1111 Broadway","Oakland","94607","Alameda","Office Tower","780000","Oakland Broadway LLC","","","791102","Medium","001-0100-012-00","https://data.acgov.org/"
"555 City Center","Oakland","94607","Alameda","Office","480000","City Center Realty LLC","","","791436","Medium","001-0110-013-00","https://data.acgov.org/"
"1800 Harrison St","Oakland","94612","Alameda","Office","96000","Harrison Office LP","","","791057","Medium","008-0620-014-00","https://data.acgov.org/"
"450 Davis St","San Leandro","94577","Alameda","Industrial","115000","South Bay Industrial LLC","","","790875","Medium","077-0550-015-00","https://data.acgov.org/"
"22870 Clawiter Rd","Hayward","94545","Alameda","Industrial","170000","Hayward Clawiter LLC","","","790115","Medium","416-0070-016-00","https://data.acgov.org/"
"6255 Trinity Ct","Pleasanton","94588","Alameda","Office/R&D","120000","Trinity Court Partners LLC","","","790766","Medium","946-0010-018-00","https://data.acgov.org/"
"5001 Hopyard Rd","Pleasanton","94588","Alameda","Office/R&D","95000","Hopyard Office LLC","","","790653","Medium","946-0020-019-00","https://data.acgov.org/"
"2200 Blanding Ave","Alameda","94501","Alameda","Industrial/Warehouse","68000","Alameda Industrial LLC","","","791303","Medium","074-0525-020-00","https://data.acgov.org/"
"2601 Peralta St","Oakland","94607","Alameda","Industrial/PDR","75000","West Oakland PDR LLC","","","791607","Medium","004-0100-021-00","https://data.acgov.org/"
"100 W Caribbean Dr","Sunnyvale","94089","Santa Clara","Office Campus","537000","Google LLC","Ruth Porat (CFO)","press@google.com","821767","High","110-18-001","https://prod-sccgov.opendata.arcgis.com/"
"200 W Caribbean Dr","Sunnyvale","94089","Santa Clara","Office Campus","505000","Google LLC","Ruth Porat (CFO)","press@google.com","820769","High","110-18-002","https://prod-sccgov.opendata.arcgis.com/"
"625 N Mathilda Ave","Sunnyvale","94085","Santa Clara","Office (Class A)","200000","Jay Paul Company LLC","","","822849","High","110-22-003","https://prod-sccgov.opendata.arcgis.com/"
"4001 Burton Dr","Santa Clara","95054","Santa Clara","Industrial/Warehouse","300000","Santa Clara Industrial LP","","","822175","High","097-31-001","https://prod-sccgov.opendata.arcgis.com/"
"2400 Walsh Ave","Santa Clara","95051","Santa Clara","Office/R&D","165000","Walsh Avenue Partners LLC","","","822618","High","097-38-002","https://prod-sccgov.opendata.arcgis.com/"
"1901 Mouton Dr","Santa Clara","95054","Santa Clara","Industrial","240000","SC Industrial LLC","","","822533","High","097-40-003","https://prod-sccgov.opendata.arcgis.com/"
"490 McCarthy Blvd","Milpitas","95035","Santa Clara","Industrial/Flex","185000","McCarthy Industrial Partners LLC","","","821655","High","086-30-001","https://prod-sccgov.opendata.arcgis.com/"
"1600 Memorex Dr","Santa Clara","95050","Santa Clara","Industrial/Manufacturing","220000","Memorex Drive Holdings LLC","","","822129","High","097-45-004","https://prod-sccgov.opendata.arcgis.com/"
"2081 Stierlin Ct","Mountain View","94043","Santa Clara","Office/R&D","285000","Google LLC","Ruth Porat (CFO)","press@google.com","821826","High","160-45-001","https://prod-sccgov.opendata.arcgis.com/"
"3540 Bassett St","Santa Clara","95054","Santa Clara","Warehouse/Distribution","340000","Bassett Industrial LLC","","","821722","High","097-52-002","https://prod-sccgov.opendata.arcgis.com/"
"1 Technology Dr","Milpitas","95035","Santa Clara","Office/R&D","210000","Milpitas Technology Partners LLC","","","822721","High","086-35-002","https://prod-sccgov.opendata.arcgis.com/"
"2300 Owen St","Santa Clara","95054","Santa Clara","Office Campus","180000","Intel Corporation","David Zinsner (CFO)","corporateir@intel.com","822037","High","097-58-003","https://prod-sccgov.opendata.arcgis.com/"
"4800 Patrick Henry Dr","Santa Clara","95054","Santa Clara","Office/R&D","265000","Cisco Systems Inc","Scott Herren (CFO)","investor.relations@cisco.com","822353","High","097-62-004","https://prod-sccgov.opendata.arcgis.com/"
"10100 N Wolfe Rd","Cupertino","95014","Santa Clara","Retail/Office","750000","Apple Inc","Luca Maestri (CFO)","investor_relations@apple.com","822960","High","316-06-001","https://prod-sccgov.opendata.arcgis.com/"
"3250 Scott Blvd","Santa Clara","95054","Santa Clara","Industrial/Warehouse","420000","Scott Boulevard LLC","","","821402","High","097-72-006","https://prod-sccgov.opendata.arcgis.com/"
"1350 Old Bayshore Hwy","San Jose","95112","Santa Clara","Warehouse","365000","Bayshore Industrial LLC","","","822121","High","230-08-002","https://prod-sccgov.opendata.arcgis.com/"
"2150 Ringwood Ave","San Jose","95131","Santa Clara","Industrial","280000","Ringwood Avenue Partners LLC","","","821729","High","237-14-003","https://prod-sccgov.opendata.arcgis.com/"
"500 Reynolds Circle","San Jose","95112","Santa Clara","Warehouse","188000","Reynolds Circle LLC","","","821711","High","230-15-004","https://prod-sccgov.opendata.arcgis.com/"
"1700 Junction Ave","San Jose","95112","Santa Clara","Industrial/Distribution","240000","Junction Avenue LLC","","","820730","High","230-21-005","https://prod-sccgov.opendata.arcgis.com/"
"56 Haggerty Ln","San Jose","95134","Santa Clara","Office/Data Center","360000","Cisco Systems Inc","Scott Herren (CFO)","investor.relations@cisco.com","822633","High","015-02-001","https://prod-sccgov.opendata.arcgis.com/"
"4750 Patrick Henry Dr","Santa Clara","95054","Santa Clara","Office/R&D","195000","Patrick Henry Properties LLC","","","822246","High","097-78-007","https://prod-sccgov.opendata.arcgis.com/"
"2600 Great America Way","Santa Clara","95054","Santa Clara","Office/Hotel","310000","Great America Holdings LLC","","","821350","High","097-68-005","https://prod-sccgov.opendata.arcgis.com/"
"1 Apple Park Way","Cupertino","95014","Santa Clara","Office Campus (Ring)","2800000","Apple Inc","Luca Maestri (CFO)","investor_relations@apple.com","821032","High","316-10-001","https://prod-sccgov.opendata.arcgis.com/"
"1900 Central Expy","Santa Clara","95051","Santa Clara","Industrial/Flex","128000","Central Expy Partners LLC","","","822142","High","097-82-008","https://prod-sccgov.opendata.arcgis.com/"
"1060 La Avenida St","Mountain View","94043","Santa Clara","Office/R&D","165000","La Avenida Partners LLC","","","821569","High","160-55-009","https://prod-sccgov.opendata.arcgis.com/"
"1600 Amphitheatre Pkwy","Mountain View","94043","Santa Clara","Office Campus","2800000","Google LLC","Ruth Porat (CFO)","press@google.com","822098","High","160-58-001","https://prod-sccgov.opendata.arcgis.com/"
"3100 Patrick Henry Dr","Santa Clara","95054","Santa Clara","Industrial","320000","Patrick Henry Industrial LLC","","","821259","High","097-85-010","https://prod-sccgov.opendata.arcgis.com/"
"3450 De La Cruz Blvd","Santa Clara","95054","Santa Clara","Industrial/Flex","145000","De La Cruz Partners LLC","","","822074","High","097-91-012","https://prod-sccgov.opendata.arcgis.com/"
"1001 Murphy Ranch Rd","Milpitas","95035","Santa Clara","Industrial/Warehouse","225000","Murphy Ranch LLC","","","821840","High","086-40-013","https://prod-sccgov.opendata.arcgis.com/"
"3800 Zanker Rd","San Jose","95134","Santa Clara","Industrial","390000","Zanker Road Properties LLC","","","822856","High","015-06-014","https://prod-sccgov.opendata.arcgis.com/"
"2270 S 10th St","San Jose","95112","Santa Clara","Industrial/Manufacturing","175000","South 10th Industrial LLC","","","822117","High","467-30-015","https://prod-sccgov.opendata.arcgis.com/"
"875 Fox Dr","San Jose","95131","Santa Clara","Industrial/Flex","100000","Fox Drive Industrial LLC","","","822183","High","237-20-018","https://prod-sccgov.opendata.arcgis.com/"
"1700 Montague Expy","San Jose","95131","Santa Clara","Retail/Industrial","200000","Montague Expressway LLC","","","822932","High","237-30-020","https://prod-sccgov.opendata.arcgis.com/"
"3000 Orchard Pkwy","San Jose","95134","Santa Clara","Office/R&D","275000","Orchard Properties LLC","","","822454","High","015-10-021","https://prod-sccgov.opendata.arcgis.com/"
"5400 Betsy Ross Dr","Santa Clara","95054","Santa Clara","Industrial","195000","Betsy Ross LLC","","","821535","High","097-95-022","https://prod-sccgov.opendata.arcgis.com/"
"6310 San Ignacio Ave","San Jose","95119","Santa Clara","Office/Industrial","120000","San Ignacio Partners LLC","","","822348","High","706-10-023","https://prod-sccgov.opendata.arcgis.com/"
"2200 Ringwood Ave","San Jose","95131","Santa Clara","Industrial","155000","Ringwood Industrial LLC","","","822026","High","237-25-019","https://prod-sccgov.opendata.arcgis.com/"
"1801 Page Mill Rd","Palo Alto","94304","Santa Clara","Office/R&D Campus","450000","HP Inc","Marie Myers (CFO)","ir@hp.com","821724","High","117-12-098","https://prod-sccgov.opendata.arcgis.com/"
"3000 Hanover St","Palo Alto","94304","Santa Clara","Office/R&D","200000","HP Enterprise LLC","Tarek Robbiati (CFO)","ir@hpe.com","822429","High","117-15-099","https://prod-sccgov.opendata.arcgis.com/"
"1350 Borregas Ave","Sunnyvale","94089","Santa Clara","Industrial/Tech","125000","Borregas Industrial LLC","","","822188","High","110-32-005","https://prod-sccgov.opendata.arcgis.com/"
"400 Harbour Way South","Richmond","94804","Contra Costa","Industrial","280000","Richmond Harbor LLC","","","830974","High","409-100-004-0","https://ccmap.cccounty.us/"
"1 Chevron Way","Richmond","94802","Contra Costa","Industrial/Processing","522720","Chevron Products Company","Eimear Bonner (CFO)","investor@chevron.com","832543","High","409-120-005-0","https://ccmap.cccounty.us/"
"2400 Loveridge Rd","Pittsburg","94565","Contra Costa","Warehouse","175000","Pittsburg Industrial LLC","","","831699","High","085-050-006-5","https://ccmap.cccounty.us/"
"4675 Willow Pass Rd","Concord","94520","Contra Costa","Industrial/Flex","128000","Willow Pass Partners LLC","","","833080","High","117-130-007-0","https://ccmap.cccounty.us/"
"1350 Marina Way South","Richmond","94804","Contra Costa","Warehouse/Distribution","300000","Marina Way Industrial LLC","","","831958","High","409-140-009-0","https://ccmap.cccounty.us/"
"2615 Stanwell Dr","Concord","94520","Contra Costa","Office/R&D","112000","Stanwell Drive Properties LLC","","","831295","High","117-160-010-5","https://ccmap.cccounty.us/"
"5145 Lone Tree Way","Antioch","94531","Contra Costa","Office/Warehouse","65000","Lone Tree Partners LLC","","","832366","High","057-070-001-5","https://ccmap.cccounty.us/"
"3795 Pacheco Blvd","Martinez","94553","Contra Costa","Industrial Warehouse","78000","Pacheco Boulevard LLC","","","831871","High","161-080-002-5","https://ccmap.cccounty.us/"
"1000 Arnold Dr","Martinez","94553","Contra Costa","Office/Industrial","95000","Contra Costa County Government","","","831302","High","161-100-008-0","https://ccmap.cccounty.us/"
"3260 Blume Dr","Richmond","94806","Contra Costa","Warehouse/Industrial","225000","Blume Drive Properties LLC","","","831045","High","409-050-002-0","https://ccmap.cccounty.us/"
"3600 Giant Rd","Richmond","94806","Contra Costa","Industrial","340000","Giant Road Industrial LLC","","","831498","High","409-160-013-0","https://ccmap.cccounty.us/"
"2600 Stanwell Dr","Concord","94520","Contra Costa","Industrial","88000","Stanwell Industrial LLC","","","831806","High","117-170-014-0","https://ccmap.cccounty.us/"
"1500 Solano Way","Richmond","94804","Contra Costa","Warehouse","165000","Solano Properties LLC","","","831988","High","409-170-015-0","https://ccmap.cccounty.us/"
"905 Marina Bay Pkwy","Richmond","94804","Contra Costa","Office/Industrial","130000","Marina Bay Partners LLC","","","831527","High","409-180-016-0","https://ccmap.cccounty.us/"
"4400 Cutting Blvd","Richmond","94804","Contra Costa","Industrial","220000","Cutting Boulevard LLC","","","831805","High","409-190-017-0","https://ccmap.cccounty.us/"
"1900 Monument Blvd","Concord","94520","Contra Costa","Office/Retail","78000","Monument Boulevard LLC","","","831164","High","117-180-019-0","https://ccmap.cccounty.us/"
"2560 San Pablo Dam Rd","San Pablo","94806","Contra Costa","Retail Center","95000","San Pablo Dam Partners LLC","","","831644","High","409-200-020-0","https://ccmap.cccounty.us/"
"801 Buena Vista Ave","Richmond","94804","Contra Costa","Industrial","185000","Buena Vista Industrial LLC","","","830530","High","409-210-022-0","https://ccmap.cccounty.us/"
"615 Harbor Way","Richmond","94801","Contra Costa","Industrial","248000","Harbor Way Industrial LLC","","","831761","High","409-220-026-0","https://ccmap.cccounty.us/"
"1250 Muir Rd","Martinez","94553","Contra Costa","Industrial/Office","105000","Muir Road Partners LLC","","","831441","High","161-110-027-0","https://ccmap.cccounty.us/"
"4100 Central Ave","Richmond","94804","Contra Costa","Warehouse","195000","Central Avenue Industrial LLC","","","831008","High","409-230-028-0","https://ccmap.cccounty.us/"
"2000 Buchanan Rd","Antioch","94509","Contra Costa","Industrial","120000","Buchanan Road LLC","","","832638","High","057-080-029-0","https://ccmap.cccounty.us/"
"3600 Appian Way","El Sobrante","94803","Contra Costa","Retail/Industrial","72000","Appian Way LLC","","","832527","High","422-010-024-0","https://ccmap.cccounty.us/"
"2400 Bisso Ln","Concord","94520","Contra Costa","Office/Industrial","80000","Bisso Industrial LLC","","","830929","High","117-131-025-0","https://ccmap.cccounty.us/"
"3000 Bay Vista Ct","Benicia","94510","Contra Costa","Industrial","90000","Bay Vista Industrial LLC","","","832702","High","080-120-018-0","https://ccmap.cccounty.us/"
"200 Center Ave","Pacheco","94553","Contra Costa","Industrial","88000","Center Avenue LLC","","","831475","High","117-175-012-0","https://ccmap.cccounty.us/"
"1550 Willow Pass Ct","Concord","94520","Contra Costa","Industrial/Flex","68000","Willow Pass Court LLC","","","831920","High","117-190-021-0","https://ccmap.cccounty.us/"
"3000 Harbor Bay Pkwy","Alameda","94502","Alameda","Office","80000","Harbor Bay Business LLC","","","791000","Medium","074-0526-116-00","https://data.acgov.org/"
"1 Hacker Way","Menlo Park","94025","Santa Clara","Office Campus","2800000","Meta Platforms Inc","Susan Li (CFO)","ir@fb.com","822703","High","063-590-010","https://prod-sccgov.opendata.arcgis.com/"
"1050 Enterprise Ct","South San Francisco","94080","San Mateo","Industrial/Biotech","185000","Genentech Inc","Ashley Magargee (CFO)","ir@gene.com","830275","High","015-121-040","https://data.smcgov.org/"
"345 Oyster Point Blvd","South San Francisco","94080","San Mateo","Office/Biotech","260000","BioMed Realty LLC","Kevin Simonsen (CFO)","info@biomedrealty.com","830539","High","015-130-050","https://data.smcgov.org/"
"400 E Jamie Ct","South San Francisco","94080","San Mateo","Office/Lab","175000","Roche Holdings Inc","Alan Hippe (CFO)","investor.relations@roche.com","830229","High","015-140-060","https://data.smcgov.org/"
"200 Cardinal Way","Redwood City","94063","San Mateo","Office","366100","Cardinal Way Holdings LLC","","","829655","High","055-263-070","https://data.smcgov.org/"
"1600 Seaport Blvd","Redwood City","94063","San Mateo","Office/R&D","220000","Seaport Properties LLC","","","830859","High","055-271-080","https://data.smcgov.org/"
"900 Veterans Blvd","Redwood City","94063","San Mateo","Office/Tech","145000","Oracle Corporation","Safra Catz (CEO)","investor_us@oracle.com","830224","High","055-282-090","https://data.smcgov.org/"
"849 Mitten Rd","Burlingame","94010","San Mateo","Office/Industrial","95000","Mitten Road Properties LLC","","","830368","High","026-151-020","https://data.smcgov.org/"
"1500 Fashion Island Blvd","San Mateo","94404","San Mateo","Office/Tech","180000","Fashion Island Partners LLC","","","830409","High","034-060-091","https://data.smcgov.org/"
"2100 University Ave","East Palo Alto","94303","San Mateo","Office","195000","University Ave Partners LLC","","","830150","High","063-610-092","https://data.smcgov.org/"
"201 Industrial Rd","San Carlos","94070","San Mateo","Industrial/Warehouse","88000","San Carlos Industrial LLC","","","830603","High","052-020-093","https://data.smcgov.org/"
"800 Airport Blvd","South San Francisco","94080","San Mateo","Biotech/Office","310000","SSF Biotech Partners LLC","","","830629","High","015-150-095","https://data.smcgov.org/"
"200 Haskins Way","South San Francisco","94080","San Mateo","Industrial/Lab","98000","Haskins Way LLC","","","830869","High","015-160-096","https://data.smcgov.org/"
"1500 Harbor Blvd","Belmont","94002","San Mateo","Office","85000","Harbor Boulevard LLC","","","830110","High","042-011-100","https://data.smcgov.org/"
"1700 S El Camino Real","San Mateo","94402","San Mateo","Retail/Office","90000","El Camino Real Partners LLC","","","830651","High","034-065-101","https://data.smcgov.org/"
"2200 Bridgepointe Pkwy","San Mateo","94404","San Mateo","Office","155000","Bridgepointe Partners LLC","","","830305","High","034-070-102","https://data.smcgov.org/"
"1000 Elwell Ct","Palo Alto","94303","Santa Clara","Industrial/R&D","68000","Elwell Court LLC","","","822248","High","132-28-103","https://prod-sccgov.opendata.arcgis.com/"
"1601 Industrial Rd","San Carlos","94070","San Mateo","Industrial","72000","Industrial Road LLC","","","830473","High","052-025-104","https://data.smcgov.org/"
"1400 Shoreway Rd","Belmont","94002","San Mateo","Office/Industrial","95000","Shoreway Partners LLC","","","830425","High","042-018-105","https://data.smcgov.org/"
"1150 Bayhill Dr","San Bruno","94066","San Mateo","Office","78000","Bayhill Properties LLC","","","830792","High","020-031-107","https://data.smcgov.org/"
"900 Malcolm Rd","Burlingame","94010","San Mateo","Office/Industrial","82000","Malcolm Road LLC","","","829693","High","026-175-108","https://data.smcgov.org/"
"1600 Rollins Rd","Burlingame","94010","San Mateo","Industrial/Warehouse","82000","Rollins Road LLC","","","831008","High","026-190-120","https://data.smcgov.org/"
"300 Twin Dolphin Dr","Redwood City","94065","San Mateo","Office/R&D","140000","Twin Dolphin Partners LLC","","","830385","High","095-100-032","https://data.smcgov.org/"
"395 Oyster Point Blvd","South San Francisco","94080","San Mateo","Office/Biotech","115000","Oyster Point LLC","","","830103","High","015-175-029","https://data.smcgov.org/"
"3401 Hillview Ave","Palo Alto","94304","Santa Clara","Office/R&D","130000","Hillview Properties LLC","","","821680","High","117-08-097","https://prod-sccgov.opendata.arcgis.com/"
"2325 3rd St","San Francisco","94107","San Francisco","Industrial/PDR","500000","American Industrial Center LLC","","","780476","Medium","4178A001","https://data.sfgov.org/"
"2001 3rd St","San Francisco","94107","San Francisco","Industrial/PDR","300000","Dogpatch Industrial LLC","","","780726","Medium","4163001","https://data.sfgov.org/"
"414 Brannan St","San Francisco","94107","San Francisco","Industrial/Warehouse","322000","Brannan Street Holdings LLC","","","780916","Medium","3779001","https://data.sfgov.org/"
"198 Utah St","San Francisco","94103","San Francisco","PDR/Office","108161","Utah Street Properties LLC","","","780832","Medium","3755001","https://data.sfgov.org/"
"301 Toland St","San Francisco","94124","San Francisco","Industrial/Warehouse","155000","Bayview Industrial LLC","","","780505","Medium","5303001","https://data.sfgov.org/"
"3801 3rd St","San Francisco","94124","San Francisco","Industrial/PDR","210000","Bayview Corridor LLC","","","780645","Medium","5332001","https://data.sfgov.org/"
"900 Indiana St","San Francisco","94107","San Francisco","Office/PDR","178000","Indiana Street Partners LLC","","","780589","Medium","4231001","https://data.sfgov.org/"
"250 Executive Park Blvd","San Francisco","94134","San Francisco","Office/Industrial","175000","Executive Park LLC","","","780635","Medium","4851001","https://data.sfgov.org/"
"300 Davey St","San Francisco","94124","San Francisco","Industrial","95000","Hunters Point Industrial LLC","","","780350","Medium","5292001","https://data.sfgov.org/"
"699 8th St","San Francisco","94103","San Francisco","Industrial/Flex","85000","8th Street Industrial LLC","","","780570","Medium","3761001","https://data.sfgov.org/"
"100 Hooper St","San Francisco","94107","San Francisco","PDR/Flex","78000","Hooper Street LLC","","","780537","Medium","3791001","https://data.sfgov.org/"
"1 Dr Carlton B Goodlett Pl","San Francisco","94102","San Francisco","Office (City Hall)","280000","City and County of San Francisco","","","780884","Medium","0351001","https://data.sfgov.org/"
"25 Van Ness Ave","San Francisco","94102","San Francisco","Office","95000","Van Ness Partners LLC","","","780328","Medium","0352001","https://data.sfgov.org/"
"500 Seventh St","San Francisco","94103","San Francisco","Industrial","128000","Seventh Street Industrial LLC","","","780384","Medium","3760001","https://data.sfgov.org/"
"1800 Mission St","San Francisco","94103","San Francisco","Office/PDR","92000","Mission Street Partners LLC","","","780851","Medium","3540001","https://data.sfgov.org/"
"3600 Cesar Chavez St","San Francisco","94110","San Francisco","Industrial/PDR","85000","Cesar Chavez LLC","","","780398","Medium","6931001","https://data.sfgov.org/"
"2200 Jerrold Ave","San Francisco","94124","San Francisco","Industrial/Warehouse","145000","Jerrold Industrial LLC","","","780824","Medium","5296001","https://data.sfgov.org/"
"1700 Cesar Chavez St","San Francisco","94124","San Francisco","Industrial/PDR","98000","Dogpatch Bayview LLC","","","780920","Medium","5275001","https://data.sfgov.org/"
"1 Market St","San Francisco","94105","San Francisco","Office Tower","750000","Paramount Group Inc","","","780598","Medium","3709001","https://data.sfgov.org/"
"415 Mission St","San Francisco","94105","San Francisco","Office Tower (Salesforce)","1400000","Salesforce Inc","Amy Weaver (CFO)","ir@salesforce.com","780639","Medium","3719001","https://data.sfgov.org/"
"101 2nd St","San Francisco","94105","San Francisco","Office","290000","101 Second Street LLC","","","780706","Medium","3720001","https://data.sfgov.org/"
"555 Mission St","San Francisco","94105","San Francisco","Office Tower","320000","Boston Properties LLC","","","780800","Medium","3727001","https://data.sfgov.org/"
"2345 Huntington Dr","Fairfield","94533","Solano","Warehouse/Fulfillment","1100000","Buske Logistics LLC","","","812171","Medium","0148-020-010","https://gis.solanocounty.com/"
"2100 Courage Dr","Fairfield","94533","Solano","Warehouse/Fulfillment","158000","WB Warehousing LLC","","","810233","Medium","0148-040-016","https://gis.solanocounty.com/"
"2725 Low Ct","Fairfield","94534","Solano","Industrial (Class A)","205223","Fairfield Industrial Center LLC","","","812218","Medium","0028-220-017","https://gis.solanocounty.com/"
"751 Eubanks Dr","Vacaville","95688","Solano","Industrial","92534","Eubanks Drive Industrial LLC","","","810842","Medium","0133-050-013","https://gis.solanocounty.com/"
"4301 Industrial Way","Benicia","94510","Contra Costa","Industrial Park","67500","Benicia Industrial LLC","","","832720","High","0080-110-018","https://ccmap.cccounty.us/"
"1500 Gateway Blvd","Fairfield","94533","Solano","Warehouse","350000","Gateway Industrial Partners LLC","","","811092","Medium","0148-030-012","https://gis.solanocounty.com/"
"2880 Cordelia Rd","Fairfield","94534","Solano","Distribution Center","420000","Cordelia Road Logistics LLC","","","812310","Medium","0028-210-011","https://gis.solanocounty.com/"
"1350 N Texas St","Fairfield","94533","Solano","Retail/Industrial","115000","North Texas Commercial LLC","","","812110","Medium","0148-042-019","https://gis.solanocounty.com/"
"850 Mason St","Vacaville","95688","Solano","Industrial/Warehouse","188000","Vacaville Industrial LLC","","","811269","Medium","0133-060-020","https://gis.solanocounty.com/"
"4250 Business Center Dr","Fairfield","94534","Solano","Industrial","260000","Business Center Fairfield LLC","","","809722","Medium","0028-225-021","https://gis.solanocounty.com/"
"2625 N Texas St","Fairfield","94533","Solano","Retail Center","145000","Fairfield Retail LLC","","","812525","Medium","0148-045-022","https://gis.solanocounty.com/"
"200 Lincoln Rd E","Vallejo","94591","Solano","Industrial","98000","Vallejo Lincoln Industrial LLC","","","811955","Medium","0053-210-024","https://gis.solanocounty.com/"
"4300 Central Way","Fairfield","94534","Solano","Warehouse","320000","Central Way LLC","","","810671","Medium","0028-230-025","https://gis.solanocounty.com/"
"1600 W Texas St","Fairfield","94533","Solano","Retail/Office","95000","West Texas Properties LLC","","","811566","Medium","0148-048-026","https://gis.solanocounty.com/"
"1450 Holiday Ln","Fairfield","94533","Solano","Office/Industrial","78000","Holiday Lane LLC","","","810706","Medium","0148-050-027","https://gis.solanocounty.com/"
"3740 Westgate Dr","Fairfield","94533","Solano","Industrial","190000","Westgate Industrial LLC","","","809701","Medium","0148-052-028","https://gis.solanocounty.com/"
"900 Chadbourne Rd","Fairfield","94534","Solano","Industrial","130000","Chadbourne Industrial LLC","","","812057","Medium","0028-240-029","https://gis.solanocounty.com/"
