"Property Address","City","Zip","County","Building Type","Roof Sqft (estimated)","Owner LLC / Company Name","Owner Contact Name","Owner Email","Estimated Solar Potential (kWh/year)","Solar Score","Parcel ID","GIS Source URL"
"1900 Embarcadero","Oakland","94606","Alameda","Industrial/PDR","32000","East Bay Embarcadero LLC","","","316458","Medium","022-0580-026-00","https://data.acgov.org/"
"4100 Redwood Rd","Oakland","94619","Alameda","Retail/Office","25000","Redwood Road LLC","","","316109","Medium","037-3720-027-00","https://data.acgov.org/"
"301 Howard St","Oakland","94607","Alameda","Industrial/PDR","42000","Howard Street LLC","","","316644","Medium","001-0120-028-00","https://data.acgov.org/"
"1800 Harrison St","Oakland","94612","Alameda","Office","30000","Harrison Office LLC","","","316149","Medium","008-0625-029-00","https://data.acgov.org/"
"820 Heinz Ave","Berkeley","94710","Alameda","Industrial/PDR","22000","Heinz Industrial LLC","","","316188","Medium","053-1234-030-00","https://data.acgov.org/"
"4600 W Las Positas Blvd","Pleasanton","94588","Alameda","Office","47000","Las Positas LLC","","","316179","Medium","946-0045-031-00","https://data.acgov.org/"
"3100 Crow Canyon Rd","San Ramon","94583","Contra Costa","Office","42000","Crow Canyon LLC","","","332666","High","213-0115-032-00","https://ccmap.cccounty.us/"
"4150 Hopyard Rd","Pleasanton","94588","Alameda","Office/R&D","33000","Hopyard Pleasanton LLC","","","316368","Medium","946-0050-033-00","https://data.acgov.org/"
"2000 Las Positas Rd","Livermore","94551","Alameda","Industrial","44000","Livermore Industrial LLC","","","316124","Medium","099-0100-034-00","https://data.acgov.org/"
"6200 Stoneridge Mall Rd","Pleasanton","94588","Alameda","Office","38000","Stoneridge Office LLC","","","316443","Medium","946-0055-035-00","https://data.acgov.org/"
"6800 Koll Center Pkwy","Pleasanton","94566","Alameda","Office/R&D","42000","Koll Center LLC","","","316734","Medium","946-0065-036-00","https://data.acgov.org/"
"6500 Dublin Blvd","Dublin","94568","Alameda","Office/Retail","35000","Dublin Retail LLC","","","316548","Medium","986-0030-037-00","https://data.acgov.org/"
"3300 Douglas Blvd","San Ramon","94583","Contra Costa","Office","42000","Douglas San Ramon LLC","","","332864","High","213-0120-038-00","https://ccmap.cccounty.us/"
"1980 Festival Plaza Dr","Dublin","94568","Alameda","Retail","32000","Festival Plaza LLC","","","316316","Medium","986-0035-039-00","https://data.acgov.org/"
"2323 Broadway","Oakland","94612","Alameda","Office","40000","Broadway Office LLC","","","316324","Medium","010-0720-040-00","https://data.acgov.org/"
"5540 Doyle St","Emeryville","94608","Alameda","Industrial/PDR","29000","Doyle Street LLC","","","316585","Medium","049-1420-041-00","https://data.acgov.org/"
"4400 Redwood Rd","Oakland","94619","Alameda","Retail","22000","Redwood Retail LLC","","","316760","Medium","037-3730-042-00","https://data.acgov.org/"
"6500 Koll Center Pkwy","Pleasanton","94566","Alameda","Office","35000","Koll Office LLC","","","316608","Medium","946-0070-043-00","https://data.acgov.org/"
"1850 Mt Diablo Blvd","Walnut Creek","94596","Contra Costa","Office","28000","Mt Diablo LLC","","","333279","High","946-0075-044-00","https://ccmap.cccounty.us/"
"4555 Delta Fair Blvd","Antioch","94509","Contra Costa","Retail","35000","Delta Fair LLC","","","332560","High","057-085-045-00","https://ccmap.cccounty.us/"
"5980 Horton St","Emeryville","94608","Alameda","Industrial","26000","Horton Industrial LLC","","","316696","Medium","049-1430-046-00","https://data.acgov.org/"
"1680 48th St","Emeryville","94608","Alameda","Industrial/PDR","22000","48th Street LLC","","","316064","Medium","049-1440-047-00","https://data.acgov.org/"
"2100 Powell St","Emeryville","94608","Alameda","Office","30000","Powell Street LLC","","","316306","Medium","049-1450-048-00","https://data.acgov.org/"
"7700 Edgewater Dr","Oakland","94621","Alameda","Industrial","38000","Edgewater Oakland LLC","","","316431","Medium","037-3740-049-00","https://data.acgov.org/"
"35600 Dumbarton Ct","Newark","94560","Alameda","Industrial/Flex","45000","Dumbarton Industrial LLC","","","316359","Medium","092A-0900-050-00","https://data.acgov.org/"
"3375 Scott Blvd","Santa Clara","95054","Santa Clara","Industrial/Flex","26000","Scott Industrial LLC","","","328556","High","097-98-001","https://prod-sccgov.opendata.arcgis.com/"
"850 Middlefield Rd","Mountain View","94043","Santa Clara","Office/Flex","48000","Mountain View Middlefield LLC","","","328904","High","160-82-002","https://prod-sccgov.opendata.arcgis.com/"
"350 Ellis St","Mountain View","94043","Santa Clara","Office/R&D","32000","Ellis Street Partners LLC","","","328865","High","160-88-003","https://prod-sccgov.opendata.arcgis.com/"
"755 Page Mill Rd","Palo Alto","94304","Santa Clara","Office/R&D","48000","Page Mill Partners LLC","","","329039","High","117-20-004","https://prod-sccgov.opendata.arcgis.com/"
"2350 Mission College Blvd","Santa Clara","95054","Santa Clara","Office/R&D","45000","Mission College LLC","","","329104","High","097-100-005","https://prod-sccgov.opendata.arcgis.com/"
"440 N Wolfe Rd","Sunnyvale","94085","Santa Clara","Office/R&D","38000","Wolfe Road Partners LLC","","","328842","High","110-40-006","https://prod-sccgov.opendata.arcgis.com/"
"900 Hamlin Ct","Sunnyvale","94089","Santa Clara","Industrial","22000","Hamlin Court LLC","","","328995","High","110-42-007","https://prod-sccgov.opendata.arcgis.com/"
"1100 Enterprise Way","Sunnyvale","94089","Santa Clara","Industrial/Flex","31000","Enterprise Way LLC","","","329220","High","110-44-008","https://prod-sccgov.opendata.arcgis.com/"
"1250 Elko Dr","Sunnyvale","94089","Santa Clara","Industrial/Tech","42000","Elko Drive LLC","","","329203","High","110-46-009","https://prod-sccgov.opendata.arcgis.com/"
"3580 Bassett St","Santa Clara","95054","Santa Clara","Industrial","35000","Bassett Industrial LLC","","","328785","High","097-102-010","https://prod-sccgov.opendata.arcgis.com/"
"180 Constitution Dr","Menlo Park","94025","Santa Clara","Office/R&D","45000","Constitution Drive LLC","","","329048","High","065-080-011","https://prod-sccgov.opendata.arcgis.com/"
"1290 Parkmoor Ave","San Jose","95126","Santa Clara","Office","28000","Parkmoor LLC","","","328382","High","264-60-012","https://prod-sccgov.opendata.arcgis.com/"
"2055 Laurelwood Rd","Santa Clara","95054","Santa Clara","Industrial","38000","Laurelwood Industrial LLC","","","328797","High","097-110-013","https://prod-sccgov.opendata.arcgis.com/"
"1740 Technology Dr","San Jose","95110","Santa Clara","Office","48000","Technology Drive LLC","","","328958","High","264-70-014","https://prod-sccgov.opendata.arcgis.com/"
"500 Mathilda Ave","Sunnyvale","94086","Santa Clara","Office","24000","Mathilda Partners LLC","","","329036","High","110-50-015","https://prod-sccgov.opendata.arcgis.com/"
"1177 Kern Ave","Sunnyvale","94085","Santa Clara","Industrial","35000","Kern Avenue LLC","","","329065","High","110-52-016","https://prod-sccgov.opendata.arcgis.com/"
"680 Almanor Ave","Sunnyvale","94085","Santa Clara","Industrial","28000","Almanor Industrial LLC","","","328962","High","110-55-017","https://prod-sccgov.opendata.arcgis.com/"
"2235 Junction Ave","San Jose","95112","Santa Clara","Industrial","22000","Junction Industrial LLC","","","328988","High","230-25-018","https://prod-sccgov.opendata.arcgis.com/"
"1801 Zanker Rd","San Jose","95134","Santa Clara","Industrial","38000","Zanker Industrial LLC","","","328974","High","015-12-019","https://prod-sccgov.opendata.arcgis.com/"
"2635 N 1st St","San Jose","95134","Santa Clara","Office","42000","North First Partners LLC","","","328919","High","015-15-020","https://prod-sccgov.opendata.arcgis.com/"
"3280 Hillview Ave","Palo Alto","94304","Santa Clara","Office/R&D","35000","Hillview Research LLC","","","328694","High","117-25-021","https://prod-sccgov.opendata.arcgis.com/"
"2460 N 1st St","San Jose","95131","Santa Clara","Office/Tech","45000","N First Tech LLC","","","328485","High","237-35-022","https://prod-sccgov.opendata.arcgis.com/"
"411 Bernardo Ave","Mountain View","94043","Santa Clara","Industrial","28000","Bernardo Industrial LLC","","","328670","High","160-62-023","https://prod-sccgov.opendata.arcgis.com/"
"1765 Scott Blvd","Santa Clara","95050","Santa Clara","Office","32000","Scott Office LLC","","","329146","High","097-115-024","https://prod-sccgov.opendata.arcgis.com/"
"940 Stewart Dr","Sunnyvale","94085","Santa Clara","Industrial","45000","Stewart Industrial LLC","","","329254","High","110-58-025","https://prod-sccgov.opendata.arcgis.com/"
"2211 Lawson Ln","Santa Clara","95054","Santa Clara","Industrial","38000","Lawson Lane LLC","","","328538","High","097-120-026","https://prod-sccgov.opendata.arcgis.com/"
"2475 Augustine Dr","Santa Clara","95054","Santa Clara","Office/R&D","42000","Augustine Drive LLC","","","328390","High","097-125-027","https://prod-sccgov.opendata.arcgis.com/"
"3210 Porter Dr","Palo Alto","94304","Santa Clara","Office/R&D","30000","Porter Drive LLC","","","328846","High","117-30-028","https://prod-sccgov.opendata.arcgis.com/"
"600 E Brokaw Rd","San Jose","95112","Santa Clara","Industrial","48000","Brokaw Industrial LLC","","","329049","High","230-30-029","https://prod-sccgov.opendata.arcgis.com/"
"1750 W Trimble Rd","San Jose","95131","Santa Clara","Industrial","35000","Trimble Road LLC","","","328958","High","237-40-030","https://prod-sccgov.opendata.arcgis.com/"
"2190 Ringwood Ave","San Jose","95131","Santa Clara","Industrial","28000","Ringwood Partners LLC","","","329233","High","237-42-031","https://prod-sccgov.opendata.arcgis.com/"
"470 E Charleston Rd","Palo Alto","94303","Santa Clara","Office","21000","Charleston Partners LLC","","","329093","High","132-35-032","https://prod-sccgov.opendata.arcgis.com/"
"350 Potrero Ave","Sunnyvale","94085","Santa Clara","Industrial","33000","Potrero Industrial LLC","","","329182","High","110-60-033","https://prod-sccgov.opendata.arcgis.com/"
"750 Clyde Ave","Mountain View","94043","Santa Clara","Industrial","24000","Clyde Avenue LLC","","","328896","High","160-65-034","https://prod-sccgov.opendata.arcgis.com/"
"3055 Orchard Dr","San Jose","95134","Santa Clara","Office","45000","Orchard Drive LLC","","","328824","High","015-18-035","https://prod-sccgov.opendata.arcgis.com/"
"2160 Bering Dr","San Jose","95131","Santa Clara","Industrial","32000","Bering Drive LLC","","","328937","High","237-45-036","https://prod-sccgov.opendata.arcgis.com/"
"4500 Great America Pkwy","Santa Clara","95054","Santa Clara","Office","49000","Great America Office LLC","","","328958","High","097-130-037","https://prod-sccgov.opendata.arcgis.com/"
"250 E Caribbean Dr","Sunnyvale","94089","Santa Clara","Industrial","30000","Caribbean Industrial LLC","","","328755","High","110-62-038","https://prod-sccgov.opendata.arcgis.com/"
"555 Mathilda Ave","Sunnyvale","94086","Santa Clara","Office/R&D","42000","Mathilda Office LLC","","","328849","High","110-65-039","https://prod-sccgov.opendata.arcgis.com/"
"2550 Corporate Pl","San Jose","95110","Santa Clara","Industrial","38000","Corporate Place LLC","","","328992","High","264-75-040","https://prod-sccgov.opendata.arcgis.com/"
"1850 Harrison St","San Jose","95112","Santa Clara","Industrial","25000","Harrison SJ LLC","","","328506","High","467-35-041","https://prod-sccgov.opendata.arcgis.com/"
"2700 Mathilda Ave","Sunnyvale","94086","Santa Clara","Retail","35000","Mathilda Retail LLC","","","329147","High","110-68-042","https://prod-sccgov.opendata.arcgis.com/"
"2100 Arnold Dr","Martinez","94553","Contra Costa","Office","28000","Arnold Drive LLC","","","332925","High","161-130-001-0","https://ccmap.cccounty.us/"
"1700 Oak Park Blvd","Pleasant Hill","94523","Contra Costa","Office","35000","Oak Park LLC","","","333042","High","152-010-002-0","https://ccmap.cccounty.us/"
"200 N Wiget Ln","Walnut Creek","94598","Contra Costa","Industrial","22000","Wiget Industrial LLC","","","332705","High","172-020-003-0","https://ccmap.cccounty.us/"
"700 Arnold Dr","Martinez","94553","Contra Costa","Office/Industrial","48000","Martinez Office LLC","","","332607","High","161-140-004-0","https://ccmap.cccounty.us/"
"1800 Clayton Rd","Concord","94520","Contra Costa","Retail","42000","Clayton Road LLC","","","333098","High","117-200-005-0","https://ccmap.cccounty.us/"
"1450 N Broadway","Walnut Creek","94596","Contra Costa","Office","35000","Broadway Walnut Creek LLC","","","332655","High","172-025-006-0","https://ccmap.cccounty.us/"
"2900 Ygnacio Valley Rd","Walnut Creek","94598","Contra Costa","Office","28000","Ygnacio Valley LLC","","","332574","High","172-030-007-0","https://ccmap.cccounty.us/"
"3001 Citrus Ave","Concord","94519","Contra Costa","Retail/Office","38000","Citrus Avenue LLC","","","333156","High","117-210-008-0","https://ccmap.cccounty.us/"
"5959 Pacheco Blvd","Martinez","94553","Contra Costa","Industrial","45000","Pacheco Industrial LLC","","","332877","High","161-150-009-0","https://ccmap.cccounty.us/"
"1500 Jack London Rd","Antioch","94509","Contra Costa","Retail","32000","Jack London LLC","","","332858","High","057-090-010-0","https://ccmap.cccounty.us/"
"2100 Contra Costa Blvd","Pleasant Hill","94523","Contra Costa","Office","48000","Pleasant Hill Office LLC","","","332865","High","152-015-011-0","https://ccmap.cccounty.us/"
"1001 Galaxy Way","Concord","94520","Contra Costa","Office","25000","Galaxy Way LLC","","","332574","High","117-215-012-0","https://ccmap.cccounty.us/"
"600 Reed St","Richmond","94804","Contra Costa","Industrial","42000","Reed Street LLC","","","332477","High","409-240-013-0","https://ccmap.cccounty.us/"
"4301 Wildcat Rd","Richmond","94806","Contra Costa","Industrial","35000","Wildcat Industrial LLC","","","332465","High","409-250-014-0","https://ccmap.cccounty.us/"
"3410 Pan American Way","Pittsburg","94565","Contra Costa","Industrial/Flex","38000","Pan American LLC","","","332666","High","085-060-015-0","https://ccmap.cccounty.us/"
"600 Alfred Nobel Dr","Hercules","94547","Contra Costa","Office/Lab","48000","Nobel Office LLC","","","332539","High","357-050-016-0","https://ccmap.cccounty.us/"
"750 Sycamore Ave","Hercules","94547","Contra Costa","Industrial","32000","Hercules Industrial LLC","","","332905","High","357-060-017-0","https://ccmap.cccounty.us/"
"1000 Main St","Martinez","94553","Contra Costa","Office","20500","Martinez Main LLC","","","332371","High","161-160-018-0","https://ccmap.cccounty.us/"
"1400 Willow Pass Rd","Concord","94520","Contra Costa","Office","28000","Willow Pass Office LLC","","","332851","High","117-220-019-0","https://ccmap.cccounty.us/"
"1201 Central Blvd","Brentwood","94513","Contra Costa","Office/Retail","35000","Brentwood Office LLC","","","332637","High","019-010-020-0","https://ccmap.cccounty.us/"
"500 Church St","Martinez","94553","Contra Costa","Office","22000","Church Street LLC","","","333039","High","161-170-021-0","https://ccmap.cccounty.us/"
"1100 Galaxy Way","Concord","94520","Contra Costa","Industrial","45000","Galaxy Industrial LLC","","","332405","High","117-225-022-0","https://ccmap.cccounty.us/"
"800 Irene Ave","Pittsburg","94565","Contra Costa","Industrial","32000","Irene Avenue LLC","","","333048","High","085-065-023-0","https://ccmap.cccounty.us/"
"2000 Pacheco St","Concord","94520","Contra Costa","Industrial","38000","Pacheco Street LLC","","","332616","High","117-230-024-0","https://ccmap.cccounty.us/"
"1750 Cavallo Rd","Antioch","94509","Contra Costa","Industrial","28000","Cavallo Road LLC","","","332686","High","057-095-025-0","https://ccmap.cccounty.us/"
"400 Ellinwood Way","Pleasant Hill","94523","Contra Costa","Office","22000","Ellinwood LLC","","","332325","High","152-020-026-0","https://ccmap.cccounty.us/"
"3300 Blume Dr","Richmond","94806","Contra Costa","Industrial","42000","Blume Industrial LLC","","","332314","High","409-260-027-0","https://ccmap.cccounty.us/"
"1400 Geary Rd","Walnut Creek","94597","Contra Costa","Office","25000","Geary Road LLC","","","332902","High","172-040-028-0","https://ccmap.cccounty.us/"
"2025 Main St","Oakley","94561","Contra Costa","Office/Retail","20500","Oakley Main LLC","","","332566","High","034-020-029-0","https://ccmap.cccounty.us/"
"100 Civic Dr","Walnut Creek","94596","Contra Costa","Office","32000","Civic Drive LLC","","","332429","High","172-045-030-0","https://ccmap.cccounty.us/"
"1600 S Amphlett Blvd","San Mateo","94402","San Mateo","Office","45000","Amphlett LLC","","","332343","High","034-075-001","https://data.smcgov.org/"
"2600 Marine Way","Mountain View","94043","Santa Clara","Office/R&D","39000","Marine Way LLC","","","328459","High","160-70-002","https://prod-sccgov.opendata.arcgis.com/"
"2600 Middlefield Rd","Redwood City","94063","San Mateo","Office/R&D","39000","Middlefield RWC LLC","","","332095","High","055-298-003","https://data.smcgov.org/"
"1 Davis Dr","Belmont","94002","San Mateo","Office","45000","Davis Drive LLC","","","332255","High","042-025-004","https://data.smcgov.org/"
"400 Oyster Point Blvd","South San Francisco","94080","San Mateo","Biotech/Office","35000","Oyster Point Partners LLC","","","331835","High","015-180-005","https://data.smcgov.org/"
"750 Lakeview Dr","South San Francisco","94080","San Mateo","Industrial/Office","28000","Lakeview Industrial LLC","","","332244","High","015-185-006","https://data.smcgov.org/"
"3000 Sand Hill Rd","Menlo Park","94025","Santa Clara","Office (Venture Capital)","48000","Sand Hill Properties LLC","","","328315","High","063-620-007","https://prod-sccgov.opendata.arcgis.com/"
"1900 S Norfolk St","San Mateo","94403","San Mateo","Office","42000","Norfolk Street LLC","","","332403","High","034-080-008","https://data.smcgov.org/"
"1100 Park Pl","San Mateo","94403","San Mateo","Office","48000","Park Place Partners LLC","","","332293","High","034-085-009","https://data.smcgov.org/"
"2000 Alameda de las Pulgas","San Mateo","94403","San Mateo","Office","35000","Alameda de las Pulgas LLC","","","332197","High","034-090-010","https://data.smcgov.org/"
"300 Rock Rd","San Mateo","94402","San Mateo","Industrial","28000","Rock Road LLC","","","332116","High","034-095-011","https://data.smcgov.org/"
"1840 Gateway Dr","San Mateo","94404","San Mateo","Office","45000","Gateway San Mateo LLC","","","332165","High","034-105-012","https://data.smcgov.org/"
"601 Gateway Blvd","South San Francisco","94080","San Mateo","Office/Biotech","49000","Gateway Biotech LLC","","","332173","High","015-190-013","https://data.smcgov.org/"
"500 Forbes Blvd","South San Francisco","94080","San Mateo","Industrial/Biotech","35000","Forbes Partners LLC","","","332159","High","015-195-014","https://data.smcgov.org/"
"1305 El Camino Real","Menlo Park","94025","Santa Clara","Office/Medical","22000","El Camino Menlo LLC","","","328816","High","063-625-015","https://prod-sccgov.opendata.arcgis.com/"
"2200 Bridge Pkwy","Redwood City","94065","San Mateo","Office","42000","Bridge Parkway LLC","","","332152","High","095-105-016","https://data.smcgov.org/"
"900 Chesapeake Dr","Redwood City","94063","San Mateo","Office/R&D","48000","Chesapeake Drive LLC","","","332449","High","055-305-017","https://data.smcgov.org/"
"1650 Borel Pl","San Mateo","94402","San Mateo","Office","32000","Borel Place LLC","","","332210","High","034-110-018","https://data.smcgov.org/"
"2000 Marine Pkwy","Redwood City","94065","San Mateo","Office/R&D","45000","Marine Parkway LLC","","","332163","High","095-110-019","https://data.smcgov.org/"
"1370 Old Bayshore Hwy","Burlingame","94010","San Mateo","Warehouse/Flex","38000","Old Bayshore LLC","","","332530","High","026-196-020","https://data.smcgov.org/"
"1 Tower Pl","South San Francisco","94080","San Mateo","Office","45000","Tower Place LLC","","","332315","High","015-200-021","https://data.smcgov.org/"
"2000 Sierra Pt Pkwy","Brisbane","94005","San Mateo","Office","42000","Sierra Point LLC","","","332379","High","001-040-022","https://data.smcgov.org/"
"400 Concar Dr","San Mateo","94402","San Mateo","Industrial","28000","Concar Drive LLC","","","332093","High","034-115-023","https://data.smcgov.org/"
"1600 Beach Blvd","Pacifica","94044","San Mateo","Industrial","20500","Pacifica Industrial LLC","","","332365","High","022-020-024","https://data.smcgov.org/"
"800 Airport Blvd","Burlingame","94010","San Mateo","Office/Industrial","34000","Burlingame Airport LLC","","","332425","High","026-192-025","https://data.smcgov.org/"
"300 Twin Dolphin Dr","Redwood City","94065","San Mateo","Office/R&D","40000","Twin Dolphin Partners LLC","","","332134","High","095-115-026","https://data.smcgov.org/"
"1500 Harbor Blvd","Belmont","94002","San Mateo","Office","35000","Harbor Boulevard LLC","","","331999","High","042-030-027","https://data.smcgov.org/"
"1600 S El Camino Real","San Mateo","94402","San Mateo","Office/Retail","32000","El Camino Real Partners LLC","","","332126","High","034-120-028","https://data.smcgov.org/"
"2100 Bryant St","San Francisco","94110","San Francisco","Industrial/PDR","28000","Bryant Street LLC","","","312203","Medium","4022001","https://data.sfgov.org/"
"801 Brannan St","San Francisco","94103","San Francisco","Office/Industrial","45000","Brannan Partners LLC","","","312335","Medium","3789001","https://data.sfgov.org/"
"650 Kansas St","San Francisco","94107","San Francisco","Industrial/PDR","35000","Kansas Street LLC","","","312369","Medium","4181001","https://data.sfgov.org/"
"2150 Cesar Chavez St","San Francisco","94124","San Francisco","Industrial","28000","Cesar Chavez Industrial LLC","","","312373","Medium","5291001","https://data.sfgov.org/"
"3400 3rd St","San Francisco","94124","San Francisco","Industrial/PDR","48000","Third Street LLC","","","312249","Medium","5330001","https://data.sfgov.org/"
"1700 17th St","San Francisco","94107","San Francisco","Industrial/PDR","35000","Potrero Industrial LLC","","","312191","Medium","4068001","https://data.sfgov.org/"
"100 California St","San Francisco","94111","San Francisco","Office (Lower Floors)","42000","CalPacific Properties LLC","","","312240","Medium","0238001","https://data.sfgov.org/"
"180 Sansome St","San Francisco","94104","San Francisco","Office","47000","Sansome Properties LLC","","","312288","Medium","0256001","https://data.sfgov.org/"
"220 Montgomery St","San Francisco","94104","San Francisco","Office","45000","Montgomery Street LLC","","","312285","Medium","0271001","https://data.sfgov.org/"
"525 Market St","San Francisco","94105","San Francisco","Office (Commercial)","48000","Market Street Partners LLC","","","312261","Medium","3710001","https://data.sfgov.org/"
"44 Montgomery St","San Francisco","94104","San Francisco","Office","45000","Montgomery LLC","","","312287","Medium","0273001","https://data.sfgov.org/"
"700 5th St","San Francisco","94107","San Francisco","Industrial/PDR","22000","Fifth Street Industrial LLC","","","312263","Medium","3797001","https://data.sfgov.org/"
"2800 Cesar Chavez St","San Francisco","94110","San Francisco","Industrial","32000","Dogpatch LLC","","","312202","Medium","5297001","https://data.sfgov.org/"
"1275 Mission St","San Francisco","94103","San Francisco","Office/PDR","35000","Mission Street LLC","","","312354","Medium","3544001","https://data.sfgov.org/"
"7 Henry Adams St","San Francisco","94103","San Francisco","Design/Showroom","48000","Henry Adams LLC","","","312247","Medium","3751001","https://data.sfgov.org/"
"2560 Mission St","San Francisco","94110","San Francisco","Retail/Office","22000","Mission Corridor LLC","","","312350","Medium","6929001","https://data.sfgov.org/"
"3350 20th St","San Francisco","94110","San Francisco","Industrial/Office","25000","20th Street LLC","","","312240","Medium","4051001","https://data.sfgov.org/"
"900 Minnesota St","San Francisco","94107","San Francisco","Industrial/Art","40000","Minnesota Street LLC","","","312331","Medium","4186001","https://data.sfgov.org/"
"1515 3rd St","San Francisco","94158","San Francisco","Office/Lab","48000","Mission Bay Partners LLC","","","312255","Medium","8710P001","https://data.sfgov.org/"
"455 Mission Bay Blvd N","San Francisco","94158","San Francisco","Office/Lab","45000","Mission Bay Lab LLC","","","312147","Medium","8710Q001","https://data.sfgov.org/"
"490 Illinois St","San Francisco","94107","San Francisco","Office/Lab","35000","Illinois Street LLC","","","312268","Medium","4203001","https://data.sfgov.org/"
"1600 Owens St","San Francisco","94158","San Francisco","Office/R&D","42000","Mission Bay R&D LLC","","","312367","Medium","8710R001","https://data.sfgov.org/"
"880 Eubanks Dr","Vacaville","95688","Solano","Industrial/Flex","47000","Vacaville Eubanks LLC","","","323882","Medium","0133-080-001","https://gis.solanocounty.com/"
"1700 N Texas St","Fairfield","94533","Solano","Retail","35000","North Texas Fairfield LLC","","","324210","Medium","0148-060-002","https://gis.solanocounty.com/"
"4100 Chadbourne Rd","Fairfield","94534","Solano","Industrial","42000","Chadbourne Fairfield LLC","","","324266","Medium","0028-280-003","https://gis.solanocounty.com/"
"350 Auto Center Dr","Vacaville","95687","Solano","Auto/Retail","28000","Vacaville Auto LLC","","","324673","Medium","0133-085-004","https://gis.solanocounty.com/"
"2900 N Texas St","Fairfield","94533","Solano","Office/Retail","35000","Fairfield N Texas LLC","","","324104","Medium","0148-065-005","https://gis.solanocounty.com/"
"1200 Travis Blvd","Fairfield","94533","Solano","Retail","38000","Travis Blvd LLC","","","323919","Medium","0148-070-006","https://gis.solanocounty.com/"
